"acq_date","reading_count","min_brightness","max_brightness","average_brightness","vegetation","other_land","offshore"
"2019-09-01","2834","295.00","401.10","334.88","2763","36","35"
"2019-09-02","2859","295.00","460.20","333.36","2794","28","37"
"2019-09-03","3364","294.00","441.10","333.40","3301","36","27"
"2019-09-04","3519","295.10","428.90","331.51","3448","32","39"
"2019-09-05","3370","295.00","454.50","330.54","3292","29","49"
"2019-09-06","8017","208.00","451.70","331.12","7961","22","34"
"2019-09-07","7766","295.00","451.40","330.35","7689","39","38"
"2019-09-08","7386","208.00","445.50","330.90","7308","37","41"
"2019-09-09","8680","208.00","474.80","331.42","8523","45","112"
"2019-09-10","8199","295.00","457.30","330.78","8017","48","134"
"2019-09-11","5094","208.00","405.70","332.83","5000","38","56"
"2019-09-12","5671","295.00","469.10","332.95","5576","36","59"
"2019-09-13","5680","228.90","413.90","332.74","5578","41","61"
"2019-09-14","5731","282.00","460.10","333.70","5628","44","59"
"2019-09-15","5591","208.00","461.20","332.78","5503","45","43"
"2019-09-16","4505","295.10","504.40","331.22","4438","41","26"
"2019-09-17","2878","270.40","402.90","333.78","2798","35","45"
"2019-09-18","3235","208.00","432.70","333.77","3113","33","89"
"2019-09-19","2761","208.00","434.30","334.47","2677","26","58"
"2019-09-20","2513","208.00","464.10","338.38","2438","32","43"
"2019-09-21","1401","295.00","394.70","326.84","1300","37","64"
"2019-09-22","1767","295.00","392.20","331.47","1714","35","18"
"2019-09-23","2625","295.00","421.50","327.98","2573","23","29"
"2019-09-24","2469","208.00","398.70","333.13","2386","36","47"
"2019-09-25","2284","295.30","412.10","335.38","2198","40","46"
"2019-09-26","1739","208.00","403.30","332.05","1649","33","57"
"2019-09-27","2863","295.10","399.20","329.95","2797","39","27"
"2019-09-28","2979","208.00","427.70","334.39","2866","45","68"
"2019-09-29","3816","295.00","425.40","334.56","3715","32","69"
"2019-09-30","3874","295.00","500.00","336.71","3796","23","55"
"2019-11-01","448","300.00","391.40","331.52","446","2",NULL
"2019-11-02","565","300.00","444.10","332.23","561","4",NULL
"2019-11-03","536","301.20","501.10","342.12","535","1",NULL
"2019-11-04","891","300.20","467.10","337.07","888","3",NULL
"2019-11-05","658","300.00","475.30","338.52","639","15","4"
"2019-11-06","959","300.30","437.60","333.91","945","14",NULL
"2019-11-07","2644","300.30","502.80","345.62","2625","13","6"
"2019-11-08","4095","300.20","503.50","342.10","4086","9",NULL
"2019-11-09","3140","300.00","461.60","332.25","3136","2","2"
"2019-11-10","2605","300.10","505.40","341.58","2601","4",NULL
"2019-11-11","1337","300.00","404.60","326.17","1333","4",NULL
"2019-11-12","3342","300.10","504.70","339.60","3335","7",NULL
"2019-11-13","1856","300.00","502.30","333.00","1844","11","1"
"2019-11-14","1812","300.00","483.30","332.57","1797","14","1"
"2019-11-15","2627","300.00","500.00","334.10","2622","5",NULL
"2019-11-16","1643","300.10","500.00","335.77","1640","2","1"
"2019-11-17","1665","300.00","500.00","338.85","1658","5","2"
"2019-11-18","1863","300.00","457.80","328.72","1854","9",NULL
"2019-11-19","2423","300.20","500.90","342.34","2414","8","1"
"2019-11-20","1405","300.10","458.30","334.54","1401","2","2"
"2019-11-21","1761","300.10","503.40","334.64","1743","18",NULL
"2019-11-22","1551","300.00","500.00","338.93","1547","4",NULL
"2019-11-23","1092","300.50","449.80","334.29","1080","11","1"
"2019-11-24","966","300.00","485.20","335.72","962","4",NULL
"2019-11-25","1025","300.30","459.50","335.20","1017","8",NULL
"2019-11-26","924","300.00","503.30","341.41","917",NULL,"7"
"2019-11-27","835","300.00","492.80","332.93","825","9","1"
"2019-11-28","850","300.70","450.20","335.91","837","10","3"
"2019-11-29","950","300.30","504.30","335.21","943","4","3"
"2019-11-30","670","300.30","421.10","332.33","662","8",NULL
"2019-12-01","1141","300.00","503.30","343.70","1130","6","5"
"2019-12-02","1894","300.10","447.50","332.27","1886","7","1"
"2019-12-03","2387","300.10","503.80","335.11","2387",NULL,NULL
"2019-12-04","3145","300.10","500.00","331.57","3144","1",NULL
"2019-12-05","3486","300.10","503.80","341.24","3483","3",NULL
"2019-12-06","3787","300.00","503.40","334.08","3785","1","1"
"2019-12-07","2746","300.30","503.20","337.67","2738","6","2"
"2019-12-08","1898","300.00","467.00","339.83","1895","1","2"
"2019-12-09","2945","300.30","474.00","333.13","2932","12","1"
"2019-12-10","1586","300.00","471.00","337.31","1581","5",NULL
"2019-12-11","887","300.10","449.00","332.50","884","3",NULL
"2019-12-12","843","301.30","470.50","339.27","840","1","2"
"2019-12-13","974","300.10","491.70","337.73","968","1","5"
"2019-12-14","2293","300.00","500.00","339.44","2283","10",NULL
"2019-12-15","2744","300.00","500.00","338.78","2740","3","1"
"2019-12-16","2854","300.00","501.70","340.41","2842","12",NULL
"2019-12-17","2690","300.10","501.40","335.58","2689","1",NULL
"2019-12-18","4000","300.20","502.20","331.90","3995","5",NULL
"2019-12-19","4768","300.00","503.10","339.75","4762","5","1"
"2019-12-20","3721","300.20","506.00","336.03","3700","21",NULL
"2019-12-21","4031","300.20","505.80","349.18","4009","21","1"
"2019-12-22","1497","300.20","500.00","337.20","1494","2","1"
"2019-12-23","1445","300.20","430.90","333.71","1441","4",NULL
"2019-12-24","1521","300.10","503.50","339.01","1514","5","2"
"2019-12-25","2031","300.00","477.40","331.17","2026","5",NULL
"2019-12-26","2199","300.00","474.50","339.52","2185","8","6"
"2019-12-27","1919","300.10","503.90","333.25","1910","9",NULL
"2019-12-28","2381","300.00","482.70","340.37","2379","2",NULL
"2019-12-29","3236","300.00","506.70","342.12","3223","2","11"
"2019-12-30","6925","300.30","504.50","353.64","6909","11","5"
"2019-12-31","3438","300.10","501.90","340.34","3430","5","3"
