"acq_date","max_brightness","min_brightness","average_brightness"
"2019-09-01","401.10","295.00","334.88"
"2019-09-02","460.20","295.00","333.36"
"2019-09-03","441.10","294.00","333.40"
"2019-09-04","428.90","295.10","331.51"
"2019-09-05","454.50","295.00","330.54"
"2019-09-06","451.70","208.00","331.12"
"2019-09-07","451.40","295.00","330.35"
"2019-09-08","445.50","208.00","330.90"
"2019-09-09","474.80","208.00","331.42"
"2019-09-10","457.30","295.00","330.78"
"2019-09-11","405.70","208.00","332.83"
"2019-09-12","469.10","295.00","332.95"
"2019-09-13","413.90","228.90","332.74"
"2019-09-14","460.10","282.00","333.70"
"2019-09-15","461.20","208.00","332.78"
"2019-09-16","504.40","295.10","331.22"
"2019-09-17","402.90","270.40","333.78"
"2019-09-18","432.70","208.00","333.77"
"2019-09-19","434.30","208.00","334.47"
"2019-09-20","464.10","208.00","338.38"
"2019-09-21","394.70","295.00","326.84"
"2019-09-22","392.20","295.00","331.47"
"2019-09-23","421.50","295.00","327.98"
"2019-09-24","398.70","208.00","333.13"
"2019-09-25","412.10","295.30","335.38"
"2019-09-26","403.30","208.00","332.05"
"2019-09-27","399.20","295.10","329.95"
"2019-09-28","427.70","208.00","334.39"
"2019-09-29","425.40","295.00","334.56"
"2019-09-30","500.00","295.00","336.71"
"2019-11-01","391.40","300.00","331.52"
"2019-11-02","444.10","300.00","332.23"
"2019-11-03","501.10","301.20","342.12"
"2019-11-04","467.10","300.20","337.07"
"2019-11-05","475.30","300.00","338.52"
"2019-11-06","437.60","300.30","333.91"
"2019-11-07","502.80","300.30","345.62"
"2019-11-08","503.50","300.20","342.10"
"2019-11-09","461.60","300.00","332.25"
"2019-11-10","505.40","300.10","341.58"
"2019-11-11","404.60","300.00","326.17"
"2019-11-12","504.70","300.10","339.60"
"2019-11-13","502.30","300.00","333.00"
"2019-11-14","483.30","300.00","332.57"
"2019-11-15","500.00","300.00","334.10"
"2019-11-16","500.00","300.10","335.77"
"2019-11-17","500.00","300.00","338.85"
"2019-11-18","457.80","300.00","328.72"
"2019-11-19","500.90","300.20","342.34"
"2019-11-20","458.30","300.10","334.54"
"2019-11-21","503.40","300.10","334.64"
"2019-11-22","500.00","300.00","338.93"
"2019-11-23","449.80","300.50","334.29"
"2019-11-24","485.20","300.00","335.72"
"2019-11-25","459.50","300.30","335.20"
"2019-11-26","503.30","300.00","341.41"
"2019-11-27","492.80","300.00","332.93"
"2019-11-28","450.20","300.70","335.91"
"2019-11-29","504.30","300.30","335.21"
"2019-11-30","421.10","300.30","332.33"
"2019-12-01","503.30","300.00","343.70"
"2019-12-02","447.50","300.10","332.27"
"2019-12-03","503.80","300.10","335.11"
"2019-12-04","500.00","300.10","331.57"
"2019-12-05","503.80","300.10","341.24"
"2019-12-06","503.40","300.00","334.08"
"2019-12-07","503.20","300.30","337.67"
"2019-12-08","467.00","300.00","339.83"
"2019-12-09","474.00","300.30","333.13"
"2019-12-10","471.00","300.00","337.31"
"2019-12-11","449.00","300.10","332.50"
"2019-12-12","470.50","301.30","339.27"
"2019-12-13","491.70","300.10","337.73"
"2019-12-14","500.00","300.00","339.44"
"2019-12-15","500.00","300.00","338.78"
"2019-12-16","501.70","300.00","340.41"
"2019-12-17","501.40","300.10","335.58"
"2019-12-18","502.20","300.20","331.90"
"2019-12-19","503.10","300.00","339.75"
"2019-12-20","506.00","300.20","336.03"
"2019-12-21","505.80","300.20","349.18"
"2019-12-22","500.00","300.20","337.20"
"2019-12-23","430.90","300.20","333.71"
"2019-12-24","503.50","300.10","339.01"
"2019-12-25","477.40","300.00","331.17"
"2019-12-26","474.50","300.00","339.52"
"2019-12-27","503.90","300.10","333.25"
"2019-12-28","482.70","300.00","340.37"
"2019-12-29","506.70","300.00","342.12"
"2019-12-30","504.50","300.30","353.64"
"2019-12-31","501.90","300.10","340.34"
